product_id;product_name;brand_name;product_class_id;gross_weight;net_weight;recyclable_package;low_fat;units_per_case;cases_per_pallet;shelf_width;shelf_height;shelf_depth
48;Club String Cheese;Club;11;6.31;3.3;t;t;17;7;5.22;18.7;11.2
49;Club Low Fat String Cheese;Club;11;17;15;f;f;30;12;22.8;6.48;4.65
50;Club Havarti Cheese;Club;11;9.95;7.94;f;t;36;9;9.91;22.9;6.24
51;Club Head Cheese;Club;11;8.41;5.4;f;t;9;11;13.1;7.54;18.6
52;Club Cheese Spread;Club;11;14.5;13.5;t;t;27;13;7.4;10.4;6.06
53;Club Sharp Cheddar Cheese;Club;11;18.8;16.7;t;t;18;9;21.6;18.8;6.58
54;Club Mild Cheddar Cheese;Club;11;9.58;7.57;f;t;15;14;15.9;11.7;3.87
55;Club Large Curd Cottage Cheese;Club;15;14.3;12.3;t;f;20;7;12.3;16.8;14.2
56;Club 2% Milk;Club;76;20.6;18.6;t;f;21;7;4.1;15.3;11.6
57;Club Buttermilk;Club;76;20.1;18.1;f;f;33;6;13.5;8.69;16.7
58;Club Chocolate Milk;Club;76;15.5;13.5;f;f;18;12;10.7;15;13.1
59;Club 1% Milk;Club;76;18.8;15.7;f;f;1;6;5.57;16.3;22.1
60;Club Whole Milk;Club;76;7.03;5.03;f;f;2;6;4.42;13.3;20.8
61;Club Strawberry Yogurt;Club;6;13.4;11.3;f;t;22;12;16.3;11.5;13.8
62;Club Blueberry Yogurt;Club;6;14.1;11.1;f;t;32;8;11;17.4;5.51
63;Red Spade Chicken Hot Dogs;Red Spade;81;20.3;18.2;t;t;21;6;4.41;15.9;17.9
64;Red Spade Pimento Loaf;Red Spade;91;13.2;12.1;t;f;33;6;18.1;17.6;12.4
65;Red Spade Beef Bologna;Red Spade;91;10.3;9.3;f;t;21;12;4.44;8.8;22.7
66;Red Spade Low Fat Bologna;Red Spade;91;11.9;8.89;t;t;31;9;5;19.1;14.1
67;Red Spade Turkey Hot Dogs;Red Spade;81;6.15;4.15;f;t;27;12;19.9;7.96;10.3
68;Red Spade Foot-Long Hot Dogs;Red Spade;81;16;14;t;t;2;13;20.2;10;4.12
69;Red Spade Low Fat Cole Slaw;Red Spade;16;16.7;14.7;t;t;6;11;6.13;3.69;3.28
70;Red Spade Cole Slaw;Red Spade;16;8.83;6.82;f;f;6;13;16.9;12.2;12.6
71;Red Spade Roasted Chicken;Red Spade;77;21.8;20.7;f;f;7;12;4.55;5.69;7.95
72;Red Spade Corned Beef;Red Spade;8;20.2;17.2;f;t;6;6;20.8;11.4;15.2
73;Red Spade Sliced Turkey;Red Spade;8;19.1;16.1;f;f;22;11;15.9;9.46;4.95
74;Red Spade Sliced Ham;Red Spade;8;6.13;5.13;f;t;5;7;3.38;18.8;20.8
75;Red Spade Potato Salad;Red Spade;16;16.9;14.8;f;t;26;11;18.1;8.74;11.9
76;Red Spade Sliced Chicken;Red Spade;8;18.1;17.1;f;t;4;7;14.6;13.5;3.42
77;Blue Medal Small Brown Eggs;Blue Medal;66;14.7;12.6;f;t;13;12;20;10.2;8.86
78;Blue Medal Large Brown Eggs;Blue Medal;66;19.5;17.5;t;t;3;6;8.29;14.2;9.13
79;Blue Medal Small Eggs;Blue Medal;66;12.4;10.3;f;t;9;8;15.3;10.7;10.7
80;Blue Medal Large Eggs;Blue Medal;66;17.1;14.1;f;f;31;12;12.8;9.1;11.1
81;Blue Medal Egg Substitute;Blue Medal;66;17;15;f;f;35;7;12.8;18.2;10.5
82;Golden Low Fat Waffles;Golden;34;21.3;18.2;f;t;25;13;7.06;6.61;11
83;Golden Orange Popsicles;Golden;110;18;17;t;f;11;10;10.7;3.3;21.5
84;Golden Frozen Chicken Breast;Golden;100;14.6;11.6;f;f;3;10;4.7;3.34;4.44
85;Golden Frozen Pancakes;Golden;29;7.12;5.11;f;t;29;11;9.53;3.09;16.1
86;Golden Low Fat French Fries;Golden;63;14.2;13.1;f;t;3;8;8.7;21.7;10.7
87;Golden Frozen Sausage Pizza;Golden;64;19;17;t;f;19;6;15.2;21.2;18.6
88;Golden Blueberry Waffles;Golden;34;7.86;6.86;t;f;6;12;10.5;12.9;18.9
89;Golden Fajita French Fries;Golden;63;20.5;17.5;f;f;4;7;14;20.7;14.4
90;Golden Waffles;Golden;34;10.2;8.19;f;t;2;12;15.1;8.08;19.5
91;Golden Frozen Pepperoni Pizza;Golden;64;12.8;10.8;t;t;17;12;8.94;4.08;3.08
92;Golden Frozen Cheese Pizza;Golden;64;17.1;16.1;t;f;25;5;4.09;16.8;18.6
93;Golden Frozen Mushroom Pizza;Golden;64;16.4;14.3;t;f;21;12;3.11;11.5;13.1
94;Golden Apple Cinnamon Waffles;Golden;34;7.9;4.9;t;f;1;9;10.5;20.9;8.15
95;Golden Frozen Carrots;Golden;60;8.58;5.57;t;f;29;9;16.6;3.52;22.3
96;Golden Turkey TV Dinner;Golden;10;10.7;9.69;t;t;35;8;17.5;21.7;13.5
97;Golden Chicken TV Dinner;Golden;10;18.3;16.2;t;f;26;7;16.4;16.9;5.55
98;Golden Beef TV Dinner;Golden;10;9.43;6.43;f;f;33;11;4.38;3.28;15.2
99;Golden Pancake Mix;Golden;28;8.83;6.82;t;t;29;13;21.7;17.9;14.7
100;Golden Grape Popsicles;Golden;110;9.49;8.48;t;t;6;7;9.3;16.1;6.34
101;Golden Home Style French Fries;Golden;63;20.6;18.6;f;t;13;6;7.8;13.8;7.22
102;Golden Lime Popsicles;Golden;110;18.2;17.2;f;t;16;10;6.01;18.3;14.8
103;Golden Ice Cream;Golden;9;9.81;8.81;t;f;13;8;6.22;15.8;11.8
104;Golden Ice Cream Sandwich;Golden;9;12.3;10.3;f;t;11;8;9.93;17.4;17.9
105;Golden Frozen Cauliflower;Golden;60;6.16;4.15;t;f;21;11;22.7;9.49;4.28
106;Golden Frozen Broccoli;Golden;60;14.6;11.6;t;t;36;6;17.4;14.7;18.5
107;Golden Frozen Corn;Golden;60;19.9;18.8;f;f;25;11;4.91;8.76;11.2
108;Golden Frozen Peas;Golden;60;11.9;9.89;t;t;34;6;8.69;9.67;20.5
109;Golden Popsicles;Golden;9;19;16;f;f;11;12;6.69;10.4;7.67
110;Golden Frozen Chicken Thighs;Golden;100;12;10;t;t;34;13;22.3;10.2;6.75
111;Golden Frozen Chicken Wings;Golden;100;15.4;13.3;t;t;17;12;22;10.7;10
112;Golden Lemon Popsicles;Golden;110;9.35;7.35;f;t;35;5;21.9;15;13.8
113;Faux Products Silky Smooth Hair Conditioner;Faux Products;78;19.7;17.7;t;f;8;12;14.5;8.23;15
114;Faux Products Tartar Control Toothpaste;Faux Products;39;20.6;19.6;f;f;31;11;19.1;10.5;9.73
115;Faux Products Whitening Toothpast;Faux Products;39;20.6;18.6;t;f;33;13;10.6;11.7;9.62
116;Faux Products Toothpaste;Faux Products;39;8.33;5.32;t;f;8;10;7.45;20.8;13.4
117;Faux Products Deodorant;Faux Products;39;9.24;7.23;f;f;31;10;12;3.12;8.19
118;Faux Products Conditioning Shampoo;Faux Products;79;8.27;6.27;t;f;20;13;8.55;14.1;3.48
119;Faux Products Extra Moisture Shampoo;Faux Products;79;20.1;19.1;f;f;7;12;7.86;8.33;14.7
120;Faux Products Angled Toothbrush;Faux Products;88;12.9;9.89;f;f;23;13;9.99;5.6;22
121;Faux Products Apricot Shampoo;Faux Products;79;11.6;8.6;t;f;21;11;21.4;6.61;22.4
122;Faux Products Childrens Aspirin;Faux Products;70;12.5;10.5;f;f;9;10;6.11;8.89;17.1
123;Faux Products Buffered Aspirin;Faux Products;70;12.4;9.39;f;f;21;7;3.1;17.5;22.6
124;Faux Products 200 MG Ibuprofen;Faux Products;71;13.3;10.3;t;f;8;11;7.72;19.7;17.3
125;Faux Products 200 MG Acetominifen;Faux Products;72;11.1;9.1;f;f;31;11;15.1;5.18;8.03
126;Faux Products HCL Nasal Spray;Faux Products;73;20.8;19.7;t;f;22;6;21.3;18;5.03
127;Faux Products Dishwasher Detergent;Faux Products;73;16.7;13.7;t;f;10;14;20.6;12.2;16.3
128;Faux Products Multi-Symptom Cold Remedy;Faux Products;75;14.5;12.5;f;f;26;5;8.09;17.6;7.02
129;Faux Products Childrens Cold Remedy;Faux Products;75;9.49;7.48;t;f;23;13;14.2;10.6;3.49
130;Faux Products Laundry Detergent;Faux Products;74;21.3;20.2;t;f;10;12;13.5;4.82;14.7
131;Faux Products Mint Mouthwash;Faux Products;74;19.1;16.1;f;f;26;13;20.9;10.2;5.48
132;Denny 60 Watt Lightbulb;Denny;80;20;18;t;f;14;12;5.59;12.5;20.2
133;Denny Plastic Forks;Denny;56;14;12;f;f;3;6;16.7;15.4;12
134;Denny Plastic Spoons;Denny;56;6.83;4.82;t;f;18;7;18.8;12.6;19.3
135;Denny Plastic Knives;Denny;56;7.74;4.73;f;f;6;6;3.51;14.9;14
136;Denny C-Size Batteries;Denny;101;17.4;15.3;f;f;33;10;9.7;7.86;11
137;Denny 100 Watt Lightbulb;Denny;80;13.3;11.3;t;f;13;11;9.01;22;22.3
138;Denny AAA-Size Batteries;Denny;101;12.3;10.3;t;f;7;13;16.3;7.58;12.5
139;Denny Paper Plates;Denny;55;21.1;19.1;f;f;16;10;18.5;4.85;19.7
140;Denny Paper Cups;Denny;55;6.03;4.03;f;f;4;10;3.14;7.13;14.5
141;Denny 75 Watt Lightbulb;Denny;80;15.7;13.6;t;f;2;8;9.33;20;11.5
142;Denny Toilet Bowl Cleaner;Denny;22;8.48;6.47;f;f;11;5;11.4;17.2;18.7
143;Denny Counter Cleaner;Denny;22;9.39;7.39;f;f;5;8;16;19.5;13.4
144;Denny Glass Cleaner;Denny;22;20.3;18.2;t;f;2;7;22.2;12.6;9.96
145;Denny 25 Watt Lightbulb;Denny;80;21.2;20.2;f;f;25;6;6.82;14.9;4.67
146;Denny AA-Size Batteries;Denny;101;14;12;t;f;35;12;8.95;12.1;11.9
147;Denny D-Size Batteries;Denny;101;13;12;t;f;29;10;5.44;3.22;7.24
148;Denny Paper Towels;Denny;18;8.94;6.93;t;f;17;9;4.75;17.3;18.5
149;Denny Soft Napkins;Denny;18;17.6;16.6;t;f;27;6;6.87;14.6;5.81
150;Denny Scented Tissue;Denny;18;18.6;16.6;t;f;15;14;11.4;16.9;20.5
151;Denny Toilet Paper;Denny;18;12.3;10.3;t;f;12;13;17.6;9.81;17.5
152;Denny Tissues;Denny;18;17.2;15.2;t;f;31;13;19.9;6.55;6.38
153;Denny Scented Toilet Tissue;Denny;18;18.1;17.1;f;f;19;12;4.6;8.83;21
154;Denny Room Freshener;Denny;20;16.8;13.7;t;f;16;11;16.1;9.84;21.5
155;Denny Frying Pan;Denny;40;20.6;18.6;t;f;26;8;12.9;18.9;5.37
156;Denny Copper Cleaner;Denny;87;21.5;19.5;f;f;20;11;17.5;21.2;20
157;Denny Bees Wax Candles;Denny;47;20.2;18.2;t;f;18;9;9.04;22.2;20.5
158;Denny Silver Cleaner;Denny;87;21.1;18.1;f;f;5;8;13.6;4.56;15.2
159;Denny Copper Pot Scrubber;Denny;86;10.1;8.1;f;f;14;5;10.4;13.8;18.5
160;Denny Economy Toilet Brush;Denny;85;9.18;7.18;f;f;3;9;6.91;4.92;13.8
161;Denny Scissors;Denny;41;10;8;t;f;32;11;11.5;7.21;8.55
162;Denny Large Sponge;Denny;42;13.8;10.8;t;f;6;8;8.34;16.3;12.4
163;Denny Screw Driver;Denny;41;14.7;11.6;f;f;4;7;12.9;18.6;7.11
164;Ship Shape Extra Lean Hamburger;Ship Shape;65;13.4;11.3;t;t;27;6;4.46;19.6;7.53
165;Ship Shape Seasoned Hamburger;Ship Shape;65;8.26;6.26;f;f;31;10;9.36;3.99;16
166;Robust Monthly Sports Magazine;Robust;104;11.2;10.1;t;f;31;6;6.67;18.9;14.4
167;Robust Monthly Auto Magazine;Robust;108;14.4;13.3;f;f;6;11;13.8;5.88;18.3
168;Robust Monthly Computer Magazine;Robust;107;10.4;8.39;f;f;23;11;11.6;8.92;9.67
169;Robust Monthly Home Magazine;Robust;105;19.5;17.5;t;f;29;11;17.2;5.11;11.8
170;Robust Monthly Fashion Magazine;Robust;106;9.56;8.56;f;f;23;9;5.74;4.41;9.95
171;High Top Summer Squash;High Top;61;18.7;17.7;f;f;30;9;11.3;20.6;12
172;High Top Corn on the Cob;High Top;61;16.1;14.1;f;t;3;8;12.3;18.4;4.75
173;High Top Asparagus;High Top;61;21.9;20.8;f;f;13;13;22;9.15;7.34
174;High Top Sweet Peas;High Top;61;13.4;11.3;t;f;22;8;12.3;21;21.8
175;High Top New Potatos;High Top;61;6.82;4.82;t;t;16;8;13;15.4;13.2
176;High Top Beets;High Top;61;12.1;10.1;t;f;29;7;10.4;14.9;8.42
177;High Top Prepared Salad;High Top;61;10.5;8.5;f;f;19;14;5;16.2;3.3
178;High Top Onions;High Top;61;19.5;16.5;t;t;25;7;20.3;18.2;12.3
179;High Top Green Pepper;High Top;61;19.7;18.7;f;t;2;6;3.93;15.1;21.6
180;High Top Shitake Mushrooms;High Top;61;12.3;11.3;f;f;17;9;17.3;18.2;10.9
181;High Top Lettuce;High Top;61;16.1;14.1;f;t;23;5;16.1;15.1;14.5
182;High Top Elephant Garlic;High Top;61;9.05;6.05;f;t;11;12;13.2;6.07;13.5
183;High Top Red Pepper;High Top;61;7.06;5.05;t;f;22;8;4.13;19.5;18.6
184;High Top Garlic;High Top;61;20;18;t;t;22;13;22.7;11.8;6.41
185;High Top Potatos;High Top;61;9.3;7.3;t;f;24;12;11.4;8.03;4.14
186;High Top Cauliflower;High Top;61;18.7;17.7;f;f;20;7;9.53;13.4;8.09
187;High Top Tomatos;High Top;61;14.8;13.8;f;t;15;6;12.6;13.4;3.67
188;High Top Mushrooms;High Top;61;14.7;11.6;t;t;14;8;22.3;19.2;10.6
189;High Top Baby Onion;High Top;61;8.51;6.51;t;f;4;13;5.62;8.03;21.8
190;High Top Dried Mushrooms;High Top;61;18.7;17.7;t;t;29;6;9.59;17.9;5.47
191;High Top Fresh Lima Beans;High Top;61;12.6;9.6;t;f;22;7;19.9;14.4;16.7
192;High Top Squash;High Top;61;10.7;7.69;f;t;4;7;20.3;15.6;14.2
193;High Top Limes;High Top;99;11.8;9.8;t;f;11;13;8.64;14.9;18.3
194;High Top Firm Tofu;High Top;67;11.6;8.6;t;t;21;11;18.8;7.38;10.2
195;High Top Almonds;High Top;1;8.72;6.72;f;t;24;13;17.6;13;10.4
196;High Top Macintosh Apples;High Top;99;12.1;10.1;t;t;27;10;7.29;19.1;16.2
197;High Top Golden Delcious Apples;High Top;99;21.5;19.5;f;t;29;7;15.4;18.9;17.6
198;High Top Red Delcious Apples;High Top;99;17.2;14.2;t;t;27;13;6.26;7.83;5.92
199;High Top Lemons;High Top;99;19.2;18.2;t;f;33;10;19.8;4.92;4.65
200;High Top Fancy Plums;High Top;99;6.74;4.73;f;f;12;6;8.38;17.6;20.4
201;High Top Plums;High Top;99;14.7;12.6;f;f;29;14;10.8;11.8;7.33
202;High Top Peaches;High Top;99;11.8;8.8;f;f;24;6;6.61;10.7;10.1
203;High Top Broccoli;High Top;61;8.85;5.85;t;f;27;5;6.17;12;10.3
204;High Top Mandarin Oranges;High Top;99;13.6;10.6;f;f;31;7;22.6;17;20.7
205;High Top Mixed Nuts;High Top;1;13.9;11.8;t;f;9;5;4.96;11.8;5
206;High Top Canned Peanuts;High Top;1;10.9;7.89;f;t;15;7;22.6;19.6;17.8
207;High Top Sweet Onion;High Top;61;13.5;11.5;t;t;7;14;16;17.8;11.3
208;High Top Cantelope;High Top;99;13.4;10.3;t;t;23;6;6.06;21.4;8.32
209;High Top Honey Dew;High Top;99;17.3;15.2;t;f;16;6;7.99;18.6;21.4
210;High Top Fuji Apples;High Top;99;17;14;f;t;27;10;16.1;4.23;13.8
211;High Top Walnuts;High Top;1;14.5;12.5;t;f;1;7;4.6;12.1;14
212;High Top Oranges;High Top;99;9.78;7.77;f;f;14;9;13.1;4.27;12.3
213;High Top Tangerines;High Top;99;7.22;5.21;t;f;11;11;4.08;7.71;7.56
214;High Top Party Nuts;High Top;1;21.6;19.6;t;t;18;13;8.56;14.5;4.93
215;Tip Top Lox;Tip Top;24;14.1;11.1;t;f;10;13;12.1;12;11.6
216;Tip Top Scallops;Tip Top;2;21.3;20.2;t;t;22;7;18.3;18.3;6.31
217;Best Choice Low Fat Cookies;Best Choice;45;16;14;t;f;21;13;14.4;10.5;22.3
218;Best Choice BBQ Potato Chips;Best Choice;12;16.2;14.2;f;f;13;6;19.8;12;4.03
219;Best Choice Corn Chips;Best Choice;12;20.6;18.6;t;t;15;12;22.4;14.8;7.04
220;Best Choice Low Fat BBQ Chips;Best Choice;12;12.2;10.1;f;t;7;7;12.5;17.8;6.56
221;Best Choice Sugar Cookies;Best Choice;45;15.2;13.1;f;f;36;14;8.6;10.5;20
222;Best Choice Chocolate Chip Cookies;Best Choice;45;15;12;f;t;29;9;19.9;16.3;21.9
223;Best Choice Fudge Cookies;Best Choice;45;20.3;19.2;t;f;36;6;7.02;12.5;4.67
224;Best Choice Fudge Brownies;Best Choice;45;8.24;6.23;f;f;32;7;10.6;14.2;10.2
225;Best Choice Potato Chips;Best Choice;12;19.8;16.7;f;f;7;5;11.5;17.5;15.9
226;Best Choice Lemon Cookies;Best Choice;45;10.4;7.39;t;t;22;13;18.1;11.6;10.7
227;Best Choice Graham Crackers;Best Choice;45;15.7;14.6;f;t;12;9;5.65;5.62;3.49
228;Best Choice Cheese Crackers;Best Choice;82;8.71;6.71;f;t;11;14;22.6;7.63;7.58
229;Best Choice Buttered Popcorn;Best Choice;54;13.6;10.6;f;f;33;10;7.48;7.12;20.4
230;Best Choice No Salt Popcorn;Best Choice;54;14.7;12.6;t;t;21;12;5.64;11.9;6.97
231;Best Choice Low Fat Popcorn;Best Choice;54;10;8;f;f;30;11;22.8;7.41;22.8
232;Best Choice Salsa Dip;Best Choice;83;16.1;15.1;f;f;16;9;17.4;3.75;22.6
233;Best Choice Avocado Dip;Best Choice;83;18.6;16.6;t;f;1;9;12.4;21.9;11.2
234;Best Choice Salted Pretzels;Best Choice;46;14.4;12.3;f;t;17;5;22.1;17.5;9.5
235;Best Choice Cheese Dip;Best Choice;83;11.5;8.5;f;f;35;10;7.91;22;14.7
236;Best Choice Fondue Mix;Best Choice;83;10.8;8.8;f;t;7;13;17;11.1;6.88
237;Best Choice Mini Donuts;Best Choice;84;21.6;19.6;t;t;23;14;12;9.93;12.8
238;Best Choice Beef Jerky;Best Choice;17;8.17;5.17;f;t;32;8;17;13.7;3.98
239;Best Choice Chocolate Donuts;Best Choice;84;16.5;14.5;t;t;5;14;22.7;17.9;10.7
240;Best Choice Low Fat Chips;Best Choice;12;7.13;6.13;f;t;33;12;5.62;5.04;10.9
241;Best Choice Sesame Crackers;Best Choice;82;21.5;20.5;t;f;24;9;20.2;6.32;5.83
242;Best Choice Frosted Cookies;Best Choice;45;9.51;7.51;f;t;23;8;10.1;20.1;11.4
243;Best Choice Dried Apples;Best Choice;109;6.6;3.59;t;t;6;11;16.6;20.2;16.7
244;Best Choice Apple Fruit Roll;Best Choice;109;7.29;4.28;t;t;22;5;12.5;8.36;13.4
245;Best Choice Strawberry Fruit Roll;Best Choice;109;9.9;6.89;f;f;19;6;5.81;17.6;12
246;Best Choice Raspberry Fruit Roll;Best Choice;109;18.8;17.7;t;f;22;7;22.9;8.59;11.1
247;Best Choice Grape Fruit Roll;Best Choice;109;13;10;f;f;17;9;8.47;14.1;12.1
248;Best Choice Dried Dates;Best Choice;109;14.7;12.6;t;t;26;10;7.37;4.48;8.54
249;Best Choice Raisins;Best Choice;109;20;18;f;f;28;9;16.1;20.6;6.27
250;Best Choice Golden Raisins;Best Choice;109;13.4;12.3;f;f;18;9;14.2;6.05;10.2
251;Best Choice Dried Apricots;Best Choice;109;18.6;16.6;f;f;14;12;3.88;6.7;22.9
252;Best Choice Frosted Donuts;Best Choice;84;20.7;17.7;f;f;2;6;6.65;13.7;4.18
253;Choice Tasty Candy Bar;Choice;36;18.2;15.2;f;t;34;14;15.3;10.5;19.3
254;Choice Mint Chocolate Bar;Choice;36;11.6;8.6;f;t;33;7;6.13;19.3;8.18
255;Choice Malted Milk Balls;Choice;36;8.65;6.64;f;t;34;6;13.6;12.7;3.48
256;Choice Semi-Sweet Chocolate Bar;Choice;36;21.7;20.7;t;f;28;14;10;18.3;11.2
257;Choice Bubble Gum;Choice;37;6.89;5.88;f;t;5;5;18.2;17.6;15.3
258;Choice Spicy Mints;Choice;38;18.6;16.6;t;f;27;7;7.26;17.5;13.5
259;Choice Mints;Choice;38;18.4;17.3;t;f;20;14;7.38;15.6;7.96
260;Choice White Chocolate Bar;Choice;36;21.9;18.8;f;f;16;7;17;21.6;13.7
261;Medalist Ravioli;Medalist;5;17.5;14.5;t;f;5;6;9.16;17.2;4.39
262;Medalist Manicotti;Medalist;5;21;20;t;f;31;9;17.4;21.1;5.19
263;Medalist Spaghetti;Medalist;5;13.9;11.8;t;f;1;7;4.53;17.5;6.78
264;Medalist Thai Rice;Medalist;57;18.7;16.7;t;t;24;6;22;15.9;7.16
265;Medalist Rice Medly;Medalist;57;10.7;9.69;t;t;6;13;4.52;10.1;14
266;Good Imported Beer;Good;43;6.89;5.88;f;f;13;12;16.2;13.4;7.12
267;Good Light Wine;Good;44;6.98;4.98;f;f;24;5;14.6;13.4;12.1
268;Good Chardonnay Wine;Good;44;9.26;7.26;f;f;20;13;6.06;14.7;11.4
269;Good Chablis Wine;Good;44;10.5;8.5;f;f;12;13;9.88;22.3;21.4
270;Good Merlot Wine;Good;44;9.71;6.71;t;f;35;13;4.16;6.7;16.6
271;Good Chardonnay;Good;44;12;9;t;f;31;12;15.6;7.97;15.9
272;Good White Zinfandel Wine;Good;44;7.07;6.07;t;f;2;10;8.64;19.8;17.5
273;Good Light Beer;Good;43;9.35;6.35;f;f;33;8;20;21.1;16.8
274;Great Pumpernickel Bread;Great;27;8.5;7.5;f;t;21;9;14.3;5.48;12.1
275;Great White Bread;Great;27;17.4;14.3;t;f;35;11;12.6;14.2;18.5
276;Great Rye Bread;Great;27;6.2;5.19;t;t;11;8;9.13;19.2;8.96
277;Great English Muffins;Great;26;11.5;9.5;f;t;24;6;16.7;22.1;16.6
278;Great Cranberry Muffins;Great;26;8.55;5.55;t;t;2;7;14.4;9.99;9.49
279;Great Muffins;Great;26;6.44;5.44;f;t;18;5;7.53;10.1;14.5
280;Great Bagels;Great;25;6.29;3.28;f;f;34;7;17.5;13.7;11.4
281;Great Blueberry Muffins;Great;26;10.1;8.1;t;t;28;6;19.4;10.9;4.61
282;Great Wheat Bread;Great;27;13.6;11.6;t;f;30;7;7.43;17;15.4
283;Super Sesame Oil;Super;49;17.5;14.5;t;t;3;13;21.1;13.1;18.4
284;Super Chunky Peanut Butter;Super;53;7.71;5.71;f;t;22;9;4.45;17.2;13.4
285;Super Hot Chocolate;Super;51;9.85;7.85;f;t;28;7;15.6;18.7;17.1
